구분,제목,가사첫줄,코드,가사
가요,갑돌이와 갑순이,갑돌이와 갑순이는 한마을에 살았드래요,G,"갑돌이와 갑순이는 한마을에 살았더래요
둘이는 서로서로 사랑을 했더래요
그러나 둘이는 마음뿐이래요
겉으로는 음-음-음- 모르는 척 했더래요

그러다가 갑순이는 시집을 갔더래요
시집간 날 첫날 밤에 한없이 울었더래요
갑순이 마음은 갑돌이 뿐이래요
겉으로는 음-음-음- 안 그런 척 했더래요

갑돌이도 화가 나서 장가를 갔더래요
장가간 날 첫날 밤에 달 보고 울었더래요
갑돌이 마음은 갑순이 뿐이래요
겉으로는 음-음-음- 고까짓 것 했더래요"
가요,딩동댕,딩동뎅 지난 여름 바닷가서 만났던 여인,Am,"딩동댕 지난 여름 바닷가서 만났던 여인
딩동댕 하고픈 이야기는 많았지만
딩동댕 너무나 짧았던 그대와의 밤
딩동댕 딩동댕 말이나 해 볼걸 또 만나자고
딩동댕 딩동댕 여름은 가버렸네 속절도 없이

딩동댕 지난 여름 우연히 잡았던 손목
딩동댕 가슴은 아프도록 뛰었지만
딩동댕 너무나 짧았던 그대와의 밤
딩동댕 딩동댕 말이나 해 볼걸 잊지 말자고
딩동댕 딩동댕 여름은 가버렸네 속절도 없이",
가요,또 만나요,빠빠빠 ,G D7,"지금은 우리가 헤어져야 할 시간
다음에 또 만나요
지금은 우리가 헤어져야 할 시간
다음에 다시 만나요

헤어지는 마음이야 아쉬웁지만
웃으면서 헤어져요
다음에 또 만날 날을 약속하면서
이제 그만 헤어져요

지금은 우리가 헤어져야 할 시간
다음에 또 만나요
지금은 우리가 헤어져야 할 시간
다음에 다시 만나요",
가요,만남,우리 만남은 우연이 아니야,C,"우리 만남은 우연이 아니야
그것은 우리의 바램이었어
잊기엔 너무한 나의 운명이었기에
바랄 수는 없지만 영원을 태우리

돌아보지 마라 후회하지 마라
아 바보 같은 눈물 보이지 마라
사랑해 사랑해 너를 너를 사랑해

돌아보지 마라 후회하지 마라
아 바보 같은 눈물 보이지 마라
사랑해 사랑해 너를 너를 사랑해
사랑해 사랑해 너를 너를 사랑해",
가요,맨처음 고백,말을 해도 좋을까 사랑하고 있다고,C G Am F,"말을 해도 좋을까 사랑하고 있다고
마음 한번 먹는데 하루 이틀 사흘
돌아서서 말할까 마주 서서 말할까
이런저런 생각에 일주일 이주일

맨 처음 고백은 몹시도 힘이 들어라
땀만 흘리며 우물쭈물 바보 같으니
화를 내면 어쩌나 가버리면 어쩌나
눈치만 살피다가 한 달 두 달 세 달

내일 다시 만나면 속 시원히 말해야지
눈치만 살피다가 일 년 이 년 삼 년
눈치만 살피다가 지나는 한 평생",
가요,먼 훗날,행여나 날 찾아 왔다가 못 보고 가더라도,Am Dm G E,"행여나 날 찾아왔다가 못 보고 가더라도
옛정에 매이지 말고 말없이 돌아가 주오
사랑이란 그런 것 생각이야 나겠지만
먼 훗날 그때는 이 사람도 떠난 후일 테니까

행여나 날 찾아왔다가 못 보고 가더라도
추억에 머물지 말고 말없이 돌아가 주오
사랑이란 그런 것 생각이야 나겠지만
먼 훗날 그때는 이 사람도 떠난 후일 테니까",
가요,메아리,산에 산에 산에는 산에 사는 메아리,C G Am Em,"산에 산에 산에는 산에 사는 메아리
언제나 찾아가서 외쳐 부르면
반가이 대답하는 산에 사는 메아리
벌거벗은 붉은 산엔 살 수 없어 갔다오
산에 산에 산에다 나무를 심자
산에 산에 산에다 옷을 입히자
메아리가 살게시리 나무를 심자",
가요,모닥불,모닥불 피워놓고 마주 앉아서,C,"모닥불 피워놓고 마주 앉아서
우리들의 이야기는 끝이 없어라
인생은 연기 속에 재를 남기고
말없이 사라지는 모닥불 같은 것
타다가 꺼지는 그 순간까지
우리들의 이야기는 끝이 없어라",
가요,모모,모모는 철부지 모모는 무지개,C Am F G,"모모는 철부지 모모는 무지개
모모는 생을 쫓아가는 시계바늘이다
모모는 방랑자 모모는 외로운 그림자
너무 기뻐서 박수를 치듯이 날개짓하며
날아가는 니스의 새들을 꿈꾸는 모모는 환상가

그런데 왜 모모 앞에 있는 생은 행복한가
인간은 사랑 없이 살 수 없다는 것을
모모는 잘 알고 있기 때문이다

모모는 철부지 모모는 무지개
모모는 생을 쫓아가는 시계바늘이다",
가요,목로 주점,멋드러진 친구 내 오랜 친구야,,"멋드러진 친구 내 오랜 친구야
언제라도 그곳에서 껄껄껄 웃던
멋드러진 친구 내 오랜 친구야
언제라도 그곳으로 찾아오라던

이왕이면 더 큰 잔에 술을 따르고
이왕이면 마주 앉아 마시자 그랬지
그래 그렇게 마주 앉아서
그래 그렇게 부딪쳐보자
가장 멋진 목소리로 기원하려마
가장 멋진 웃음으로 화답해줄게

오늘도 목로주점 흙바람 벽엔
삼십촉 백열등이 그네를 탄다",
가요,뭉게구름,이땅이 끝나는 곳에서 뭉게구름이 되어,C,"이 땅이 끝나는 곳에서 뭉게구름이 되어
저 푸른 하늘 벗 삼아 훨훨 날아다니리라
이 하늘 끝까지 가는 날 맑은 빗물이 되어
가만히 이 땅에 내리면 어디라도 외로울까

이 땅의 끝에서 모두 다시 만나면
우리는 또다시 둥글게 뭉게구름 되리라",
가요,미소,그대는 아시나요 지나간 시절의 끔울,C G Am F,"그대는 아시나요 지나간 옛 시절의 꿈을
못다한 많은 사연은 밤바람에 날려 보내리
외로운 마음은 누구의 선물인가
그대의 마음을 나에게 주오
장미꽃 향기처럼 부드러운 그대의 미소
아무도 주지 말아요 나에게만 영원하리라",
가요,밀려오는 파도소리,지나간 자욱 위에 또 다시 밀려오면,G D Em C,"지나간 자욱 위에 또 다시 밀려오면
가여린 숨결로서 목놓아 울부짖는
내 작은 소망처럼 머리를 헤쳐풀고
포말로 부서지며 자꾸만 밀려오나
자꾸만 밀려가는 그 물결은 썰물

동여매는 가슴속을 풀어 뒹굴며 노래해
뒹굴며 노래해 부딪혀 노래해 부딪혀 노래해
가슴속으로 밀려와 비었던 가슴속을 채우려 하네 채우려 하네",
가요,바다의 여인,바닷가에서 우연히 만난 사람 바닷가에서 추억을 맺은 사람,Am,"바닷가에서 우연히 만난 사람
바닷가에서 추억을 맺은 사람
손잡고 해변을 단둘이 거닐며
파도 소리 들으며 사랑을 약속했던
그러나 부서진 파도처럼
쓸쓸한 추억만 남기고 가버린
바다의 여인아",
